cell,s1,s2,s3
2,J751,J750,J500
3,J748,J498,J750
31,J749,J500,J750
32,J747,J498,J748
63,J744,J742,J743
64,CHNN,J741,J740
92,J739,J742,J743
93,J736,J737,J496
94,J495,J735,J737
123,J733,J494,J735
124,J732,J731,J730
152,J494,J730,J729
153,J730,J731,J729
182,J729,J725,J728
183,J726,J728,J493
211,J723,J098,J777
212,J724,J491,J099
213,J716,J484,J099
239,J462,J698,J487
240,J096,J717,J487
241,J481,J714,J486
242,J713,J480,J095
267,J698,J462,J692
268,J692,J691,J462
269,J772,J455,J689
270,J703,J701,J699
271,J090,J473,J475
272,J448,J684,J447
273,J082,J444,J442
274,J653,J082,J441
275,J070,J376,J653
297,J457,J458,J691
298,J458,J087,J450
299,J079,J670,J413
300,J414,J410,J769
301,J679,J433,J667
302,J674,J421,J429
303,J652,J372,J069
304,J367,J315,J066
305,J314,J065,J636
306,J625,I094,J624
307,J598,J597,J600
308,J601,J599,I060
328,J668,J076,J407
329,J075,J388,J399
330,J398,J385,J663
331,J393,J391,J395
332,J649,J345,J349
333,J639,J324,J323
334,J302,J631,J063
335,J295,I079,I090
336,I046,J626,I049
337,J227,I047,I044
338,J226,I041,I033
359,J383,J382,J656
360,J378,J645,J382
361,J327,J640,J328
362,J259,J579,J580
363,J280,J282,J619
364,J047,J273,J612
365,J223,J593,J754
366,I012,J627,TSKB
367,I022,I021,I004
391,J054,J577,J255
392,J248,J577,J574
393,J570,J245,J243
394,J246,J242,J220
395,J585,J217,J586
396,J041,J214,J211
421,J252,J253,J053
422,J235,J565,J233
423,J050,J571,J238
424,J198,J199,J197
425,J179,J038,J037
426,J550,J036,J549
452,J194,J231,J032
453,J555,J032,J192
454,J173,MZSW,J193
455,J171,J170,J172
481,J030,J551,J552
482,J186,J551,J030
483,J543,J161,J163
484,J162,J027,J164
511,J026,J542,J534
512,J537,J535,J151
513,J152,J539,J533
539,J527,J020,J145
540,J145,J530,J143
541,J147,J529,J022
542,J016,J141,J142
543,J019,J144,J532
544,J532,J015,J019
569,J126,J127,J130
570,J013,J128,J517
571,J014,J516,J132
572,J521,J518,J134
573,J112,J124,J010
574,J009,J125,J531
575,J119,J519,J512
599,J008,J106,J117
600,J110,J509,J008
601,J504,J510,J111
602,J108,J507,J505
603,J109,J004,J115
604,J109,J119,J115
628,J501,J102,J104
629,J104,J105,J101
630,J103,J502,J105
631,J002,J503,J502
657,J102,J001,J501
