station,latitude,longitude
CHNN,26.168600,127.826200
I004,36.181300,140.544500
I012,35.940300,139.992700
I021,35.777300,140.646800
I022,35.726400,140.837200
I033,35.421100,140.337400
I041,35.165900,140.268000
I044,35.111900,140.079300
I046,35.014800,138.997900
I047,34.954100,139.864100
I049,34.916100,138.924800
I060,34.059100,139.547200
I079,35.103900,138.134900
I090,34.941300,137.817900
I094,34.642900,138.129300
J001,45.403000,141.750400
J002,44.433700,143.224200
J004,43.915700,144.675800
J008,43.854000,141.510400
J009,43.070100,145.129600
J010,42.963300,144.431900
J013,43.177900,141.030900
J014,42.983300,141.730700
J015,42.321600,143.331000
J016,42.356900,142.364600
J019,42.005900,143.156500
J020,42.153500,139.519600
J022,41.826100,140.747800
J026,40.779000,140.273000
J027,40.133400,141.789100
J030,39.967900,139.776100
J032,38.894600,139.808900
J036,38.449200,141.441200
J037,38.317500,140.954200
J038,37.800700,140.908100
J041,37.090700,140.902500
J047,35.923600,137.943800
J050,37.896500,138.988900
J053,37.382400,136.889200
J054,36.663400,136.649900
J063,35.128100,137.041300
J065,34.465400,136.851100
J066,34.060700,136.198400
J069,34.157700,135.221500
J070,33.483400,135.764400
J075,35.002800,132.209000
J076,34.616500,131.610400
J079,33.996600,130.913600
J082,33.315900,134.122100
J087,33.730700,130.476800
J090,32.924600,131.876400
J095,32.021800,131.469700
J096,32.013200,130.190100
J098,31.264600,130.299500
J099,31.258500,131.087500
J101,45.335800,142.169700
J102,45.276000,141.038200
J103,45.002400,142.537100
J104,44.892500,141.741400
J105,44.728500,142.265200
J106,44.427000,141.330100
J108,44.063900,144.029800
J109,44.019200,145.186100
J110,44.006800,142.151700
J111,44.005600,143.333700
J112,42.894500,143.926900
J115,43.661800,145.131400
J117,43.404700,141.431200
J119,43.366900,145.801100
J124,43.120600,144.126500
J125,43.057600,144.843000
J126,43.056800,140.499200
J127,42.985300,140.543900
J128,42.971400,141.290300
J130,42.802700,140.603500
J132,42.729400,141.864000
J134,42.699300,143.103300
J141,42.481300,142.060200
J142,42.247700,142.567500
J143,42.243700,140.250500
J144,42.130900,142.935400
J145,42.130800,140.003900
J147,42.043000,140.805500
J151,41.043200,140.635900
J152,40.968200,141.368000
J161,39.980600,141.225100
J162,39.869400,141.950500
J163,39.851200,141.164900
J164,39.849200,141.803900
J170,39.253500,141.798000
J171,39.023800,141.739800
J172,38.902900,141.572600
J173,38.815300,140.990600
J179,38.029700,140.844000
J186,39.936100,140.132400
J192,39.164200,140.162000
J193,39.051900,140.629600
J194,39.185600,139.547700
J197,38.146200,139.742200
J198,37.963600,140.093500
J199,38.197500,140.077600
J211,37.089300,140.561600
J214,36.800300,140.753900
J217,36.854200,140.039300
J220,36.769700,139.224900
J223,35.986900,139.075700
J226,35.243200,140.384900
J227,35.002800,139.974900
J231,38.465400,139.253300
J233,38.063300,138.471700
J235,37.815900,138.273100
J238,37.662300,139.059100
J242,37.166000,138.933700
J243,37.160800,138.100200
J245,37.045200,137.873800
J246,36.993500,138.830800
J248,36.740600,136.996100
J252,37.850500,136.919300
J253,37.446000,137.270000
J255,36.394500,136.388900
J259,35.945000,135.989800
J273,36.121100,137.983000
J280,36.033000,136.952800
J282,35.866900,136.863200
J295,35.031500,137.980400
J302,34.995000,137.059800
J314,34.253400,136.820600
J315,33.875100,136.085900
J323,34.986400,136.145000
J324,34.939600,135.906200
J327,35.752400,135.173200
J328,35.555700,134.932300
J345,35.090800,134.972600
J349,34.944800,135.176400
J367,34.038200,135.963700
J372,33.913900,135.180100
J376,33.583900,135.920700
J378,35.456800,134.046700
J382,36.285300,133.239900
J383,36.093200,132.984400
J385,35.195600,132.995400
J388,34.767300,131.923100
J391,35.020900,134.234800
J393,34.982500,133.960900
J395,34.791400,133.929000
J398,34.943400,133.120200
J399,34.726900,132.277300
J407,34.439900,131.416500
J410,34.259100,131.953300
J413,33.977700,131.286000
J414,33.975100,132.104400
J421,33.877500,134.058200
J429,34.164200,133.925500
J433,33.796500,132.911600
J441,33.527800,134.280800
J442,33.505700,133.903600
J444,33.427800,134.007100
J447,33.171600,132.792700
J448,32.991200,132.999200
J450,33.536100,130.250800
J455,33.098500,130.094200
J457,34.268200,129.311500
J458,33.742700,129.734700
J462,32.669400,128.843100
J473,33.239400,131.798100
J475,32.986900,131.587800
J480,32.170400,131.515800
J481,31.965000,131.078600
J484,31.469400,131.217400
J486,31.855500,130.759700
J487,31.768700,129.795400
J491,31.106200,130.723100
J493,30.381700,130.638400
J494,28.399100,129.489000
J495,27.032200,128.432300
J496,26.694800,127.898400
J498,24.753100,125.373800
J500,24.426300,123.792000
J501,45.137700,141.167100
J502,44.582000,142.964500
J503,44.219700,143.615700
J504,44.191900,143.076800
J505,43.988800,144.293300
J507,43.828100,144.115300
J509,43.740800,141.873800
J510,43.771400,142.903000
J512,43.232100,145.259000
J516,43.248400,141.890900
J517,43.209500,140.860600
J518,43.165500,142.809700
J519,43.195200,145.520500
J521,42.938900,143.170600
J527,42.060500,139.446100
J529,41.976700,140.715400
J530,41.803000,140.071200
J531,42.982600,144.719100
J532,42.125600,143.315700
J533,41.404700,141.447600
J534,41.185100,140.490800
J535,41.145500,140.822000
J537,40.862400,141.131800
J539,40.676400,141.376200
J542,40.910200,140.451600
J543,39.953100,141.066300
J549,38.425100,141.212900
J550,38.301200,141.500700
J551,39.891100,139.848900
J552,39.825800,140.044700
J555,39.016000,139.927500
J565,38.023700,138.369900
J570,36.950900,137.893900
J571,37.752100,139.073900
J574,37.307000,137.138500
J577,36.817500,136.755700
J579,35.968900,136.185000
J580,35.836800,136.056000
J585,36.952300,140.164800
J586,36.979600,139.805700
J593,36.142800,138.912400
J597,34.333100,139.210900
J598,34.239900,139.137600
J599,34.093800,139.561800
J600,34.075800,139.478800
J601,33.884100,139.612900
J612,36.026200,138.214500
J619,35.911600,137.200700
J624,34.666400,138.046500
J625,34.634500,138.159000
J626,35.047200,138.906900
J627,36.103600,140.086300
J631,34.984400,136.862700
J636,34.431400,136.628400
J639,35.085700,136.041200
J640,35.685100,135.034000
J645,35.621200,134.677400
J649,34.936200,134.945000
J652,34.025400,135.167700
J653,33.554400,135.496200
J656,35.563500,133.137900
J663,34.811600,132.851600
J667,34.210100,132.884400
J668,34.764300,131.152400
J670,34.179800,131.065700
J674,34.039700,133.875000
J679,33.959500,132.781700
J684,33.215400,133.128600
J689,33.196000,129.940100
J691,33.255800,129.125500
J692,32.885600,129.026300
