step,date
0,2001-01-02
1,2001-01-05
2,2001-01-08
3,2001-01-11
4,2001-01-14
5,2001-01-17
6,2001-01-20
7,2001-01-23
8,2001-01-26
9,2001-01-29
10,2001-02-01
11,2001-02-04
12,2001-02-07
13,2001-02-10
14,2001-02-13
15,2001-02-16
16,2001-02-19
17,2001-02-22
18,2001-02-25
19,2001-02-28
20,2001-03-03
21,2001-03-06
22,2001-03-09
23,2001-03-12
24,2001-03-15
25,2001-03-18
26,2001-03-21
27,2001-03-24
28,2001-03-27
29,2001-03-30
30,2001-04-02
31,2001-04-05
32,2001-04-08
33,2001-04-11
34,2001-04-14
35,2001-04-17
36,2001-04-20
37,2001-04-23
38,2001-04-26
39,2001-04-29
40,2001-05-02
41,2001-05-05
42,2001-05-08
43,2001-05-11
44,2001-05-14
45,2001-05-17
46,2001-05-20
47,2001-05-23
48,2001-05-26
49,2001-05-29
50,2001-06-01
51,2001-06-04
52,2001-06-07
53,2001-06-10
54,2001-06-13
55,2001-06-16
56,2001-06-19
57,2001-06-22
58,2001-06-25
59,2001-06-28
60,2001-07-01
61,2001-07-04
62,2001-07-07
63,2001-07-10
64,2001-07-13
65,2001-07-16
66,2001-07-19
67,2001-07-22
68,2001-07-25
69,2001-07-28
70,2001-07-31
71,2001-08-03
72,2001-08-06
73,2001-08-09
74,2001-08-12
75,2001-08-15
76,2001-08-18
77,2001-08-21
78,2001-08-24
79,2001-08-27
80,2001-08-30
81,2001-09-02
82,2001-09-05
83,2001-09-08
84,2001-09-11
85,2001-09-14
86,2001-09-17
87,2001-09-20
88,2001-09-23
89,2001-09-26
90,2001-09-29
91,2001-10-02
92,2001-10-05
93,2001-10-08
94,2001-10-11
95,2001-10-14
96,2001-10-17
97,2001-10-20
98,2001-10-23
99,2001-10-26
100,2001-10-29
101,2001-11-01
102,2001-11-04
103,2001-11-07
104,2001-11-10
105,2001-11-13
106,2001-11-16
107,2001-11-19
108,2001-11-22
109,2001-11-25
110,2001-11-28
111,2001-12-01
112,2001-12-04
113,2001-12-07
114,2001-12-10
115,2001-12-13
116,2001-12-16
117,2001-12-19
118,2001-12-22
119,2001-12-25
120,2001-12-28
121,2001-12-31
122,2002-01-03
123,2002-01-06
124,2002-01-09
125,2002-01-12
126,2002-01-15
127,2002-01-18
128,2002-01-21
129,2002-01-24
130,2002-01-27
131,2002-01-30
132,2002-02-02
133,2002-02-05
134,2002-02-08
135,2002-02-11
136,2002-02-14
137,2002-02-17
138,2002-02-20
139,2002-02-23
140,2002-02-26
141,2002-03-01
142,2002-03-04
143,2002-03-07
144,2002-03-10
145,2002-03-13
146,2002-03-16
147,2002-03-19
148,2002-03-22
149,2002-03-25
150,2002-03-28
151,2002-03-31
152,2002-04-03
153,2002-04-06
154,2002-04-09
155,2002-04-12
156,2002-04-15
157,2002-04-18
158,2002-04-21
159,2002-04-24
160,2002-04-27
161,2002-04-30
162,2002-05-03
163,2002-05-06
164,2002-05-09
165,2002-05-12
166,2002-05-15
167,2002-05-18
168,2002-05-21
169,2002-05-24
170,2002-05-27
171,2002-05-30
172,2002-06-02
173,2002-06-05
174,2002-06-08
175,2002-06-11
176,2002-06-14
177,2002-06-17
178,2002-06-20
179,2002-06-23
180,2002-06-26
181,2002-06-29
182,2002-07-02
183,2002-07-05
184,2002-07-08
185,2002-07-11
186,2002-07-14
187,2002-07-17
188,2002-07-20
189,2002-07-23
190,2002-07-26
191,2002-07-29
192,2002-08-01
193,2002-08-04
194,2002-08-07
195,2002-08-10
196,2002-08-13
197,2002-08-16
198,2002-08-19
199,2002-08-22
200,2002-08-25
201,2002-08-28
202,2002-08-31
203,2002-09-03
204,2002-09-06
205,2002-09-09
206,2002-09-12
207,2002-09-15
208,2002-09-18
209,2002-09-21
210,2002-09-24
211,2002-09-27
212,2002-09-30
213,2002-10-03
214,2002-10-06
215,2002-10-09
216,2002-10-12
217,2002-10-15
218,2002-10-18
219,2002-10-21
220,2002-10-24
221,2002-10-27
222,2002-10-30
223,2002-11-02
224,2002-11-05
225,2002-11-08
226,2002-11-11
227,2002-11-14
228,2002-11-17
229,2002-11-20
230,2002-11-23
231,2002-11-26
232,2002-11-29
233,2002-12-02
234,2002-12-05
235,2002-12-08
236,2002-12-11
237,2002-12-14
238,2002-12-17
239,2002-12-20
240,2002-12-23
241,2002-12-26
242,2002-12-29
243,2003-01-01
244,2003-01-04
245,2003-01-07
246,2003-01-10
247,2003-01-13
248,2003-01-16
249,2003-01-19
250,2003-01-22
251,2003-01-25
252,2003-01-28
253,2003-01-31
254,2003-02-03
255,2003-02-06
256,2003-02-09
257,2003-02-12
258,2003-02-15
259,2003-02-18
260,2003-02-21
261,2003-02-24
262,2003-02-27
263,2003-03-02
264,2003-03-05
265,2003-03-08
266,2003-03-11
267,2003-03-14
268,2003-03-17
269,2003-03-20
270,2003-03-23
271,2003-03-26
272,2003-03-29
273,2003-04-01
274,2003-04-04
275,2003-04-07
276,2003-04-10
277,2003-04-13
278,2003-04-16
279,2003-04-19
280,2003-04-22
281,2003-04-25
282,2003-04-28
283,2003-05-01
284,2003-05-04
285,2003-05-07
286,2003-05-10
287,2003-05-13
288,2003-05-16
289,2003-05-19
290,2003-05-22
291,2003-05-25
292,2003-05-28
293,2003-05-31
294,2003-06-03
295,2003-06-06
296,2003-06-09
297,2003-06-12
298,2003-06-15
299,2003-06-18
300,2003-06-21
301,2003-06-24
302,2003-06-27
303,2003-06-30
304,2003-07-03
305,2003-07-06
306,2003-07-09
307,2003-07-12
308,2003-07-15
309,2003-07-18
310,2003-07-21
311,2003-07-24
312,2003-07-27
313,2003-07-30
314,2003-08-02
315,2003-08-05
316,2003-08-08
317,2003-08-11
318,2003-08-14
319,2003-08-17
320,2003-08-20
321,2003-08-23
322,2003-08-26
323,2003-08-29
324,2003-09-01
325,2003-09-04
326,2003-09-07
327,2003-09-10
328,2003-09-13
329,2003-09-16
330,2003-09-19
331,2003-09-22
332,2003-09-25
333,2003-09-28
334,2003-10-01
335,2003-10-04
336,2003-10-07
337,2003-10-10
338,2003-10-13
339,2003-10-16
340,2003-10-19
341,2003-10-22
342,2003-10-25
343,2003-10-28
344,2003-10-31
345,2003-11-03
346,2003-11-06
347,2003-11-09
348,2003-11-12
349,2003-11-15
350,2003-11-18
351,2003-11-21
352,2003-11-24
353,2003-11-27
354,2003-11-30
355,2003-12-03
356,2003-12-06
357,2003-12-09
358,2003-12-12
359,2003-12-15
360,2003-12-18
361,2003-12-21
362,2003-12-24
363,2003-12-27
364,2003-12-30
365,2004-01-02
366,2004-01-05
367,2004-01-08
368,2004-01-11
369,2004-01-14
370,2004-01-17
371,2004-01-20
372,2004-01-23
373,2004-01-26
374,2004-01-29
375,2004-02-01
376,2004-02-04
377,2004-02-07
378,2004-02-10
379,2004-02-13
380,2004-02-16
381,2004-02-19
382,2004-02-22
383,2004-02-25
384,2004-02-28
385,2004-03-02
386,2004-03-05
387,2004-03-08
388,2004-03-11
389,2004-03-14
390,2004-03-17
391,2004-03-20
392,2004-03-23
393,2004-03-26
394,2004-03-29
395,2004-04-01
396,2004-04-04
397,2004-04-07
398,2004-04-10
399,2004-04-13
400,2004-04-16
401,2004-04-19
402,2004-04-22
403,2004-04-25
404,2004-04-28
405,2004-05-01
406,2004-05-04
407,2004-05-07
408,2004-05-10
409,2004-05-13
410,2004-05-16
411,2004-05-19
412,2004-05-22
413,2004-05-25
414,2004-05-28
415,2004-05-31
416,2004-06-03
417,2004-06-06
418,2004-06-09
419,2004-06-12
420,2004-06-15
421,2004-06-18
422,2004-06-21
423,2004-06-24
424,2004-06-27
425,2004-06-30
426,2004-07-03
427,2004-07-06
428,2004-07-09
429,2004-07-12
430,2004-07-15
431,2004-07-18
432,2004-07-21
433,2004-07-24
434,2004-07-27
435,2004-07-30
436,2004-08-02
437,2004-08-05
438,2004-08-08
439,2004-08-11
440,2004-08-14
441,2004-08-17
442,2004-08-20
443,2004-08-23
444,2004-08-26
445,2004-08-29
446,2004-09-01
447,2004-09-04
448,2004-09-07
449,2004-09-10
450,2004-09-13
451,2004-09-16
452,2004-09-19
453,2004-09-22
454,2004-09-25
455,2004-09-28
456,2004-10-01
457,2004-10-04
458,2004-10-07
459,2004-10-10
460,2004-10-13
461,2004-10-16
462,2004-10-19
463,2004-10-22
464,2004-10-25
465,2004-10-28
466,2004-10-31
467,2004-11-03
468,2004-11-06
469,2004-11-09
470,2004-11-12
471,2004-11-15
472,2004-11-18
473,2004-11-21
474,2004-11-24
475,2004-11-27
476,2004-11-30
477,2004-12-03
478,2004-12-06
479,2004-12-09
480,2004-12-12
481,2004-12-15
482,2004-12-18
483,2004-12-21
484,2004-12-24
485,2004-12-27
486,2004-12-30
487,2005-01-02
488,2005-01-05
489,2005-01-08
490,2005-01-11
491,2005-01-14
492,2005-01-17
493,2005-01-20
494,2005-01-23
495,2005-01-26
496,2005-01-29
497,2005-02-01
498,2005-02-04
499,2005-02-07
500,2005-02-10
501,2005-02-13
502,2005-02-16
503,2005-02-19
504,2005-02-22
505,2005-02-25
506,2005-02-28
507,2005-03-03
508,2005-03-06
509,2005-03-09
510,2005-03-12
511,2005-03-15
512,2005-03-18
513,2005-03-21
514,2005-03-24
515,2005-03-27
516,2005-03-30
517,2005-04-02
518,2005-04-05
519,2005-04-08
520,2005-04-11
521,2005-04-14
522,2005-04-17
523,2005-04-20
524,2005-04-23
525,2005-04-26
526,2005-04-29
527,2005-05-02
528,2005-05-05
529,2005-05-08
530,2005-05-11
531,2005-05-14
532,2005-05-17
533,2005-05-20
534,2005-05-23
535,2005-05-26
536,2005-05-29
537,2005-06-01
538,2005-06-04
539,2005-06-07
540,2005-06-10
541,2005-06-13
542,2005-06-16
543,2005-06-19
544,2005-06-22
545,2005-06-25
546,2005-06-28
547,2005-07-01
548,2005-07-04
549,2005-07-07
550,2005-07-10
551,2005-07-13
552,2005-07-16
553,2005-07-19
554,2005-07-22
555,2005-07-25
556,2005-07-28
557,2005-07-31
558,2005-08-03
559,2005-08-06
560,2005-08-09
561,2005-08-12
562,2005-08-15
563,2005-08-18
564,2005-08-21
565,2005-08-24
566,2005-08-27
567,2005-08-30
568,2005-09-02
569,2005-09-05
570,2005-09-08
571,2005-09-11
572,2005-09-14
573,2005-09-17
574,2005-09-20
575,2005-09-23
576,2005-09-26
577,2005-09-29
578,2005-10-02
579,2005-10-05
580,2005-10-08
581,2005-10-11
582,2005-10-14
583,2005-10-17
584,2005-10-20
585,2005-10-23
586,2005-10-26
587,2005-10-29
588,2005-11-01
589,2005-11-04
590,2005-11-07
591,2005-11-10
592,2005-11-13
593,2005-11-16
594,2005-11-19
595,2005-11-22
596,2005-11-25
597,2005-11-28
598,2005-12-01
599,2005-12-04
600,2005-12-07
601,2005-12-10
602,2005-12-13
603,2005-12-16
604,2005-12-19
605,2005-12-22
606,2005-12-25
607,2005-12-28
608,2005-12-31
609,2006-01-03
610,2006-01-06
611,2006-01-09
612,2006-01-12
613,2006-01-15
614,2006-01-18
615,2006-01-21
616,2006-01-24
617,2006-01-27
618,2006-01-30
619,2006-02-02
620,2006-02-05
621,2006-02-08
622,2006-02-11
623,2006-02-14
624,2006-02-17
625,2006-02-20
626,2006-02-23
627,2006-02-26
628,2006-03-01
629,2006-03-04
630,2006-03-07
631,2006-03-10
632,2006-03-13
633,2006-03-16
634,2006-03-19
635,2006-03-22
636,2006-03-25
637,2006-03-28
638,2006-03-31
639,2006-04-03
640,2006-04-06
641,2006-04-09
642,2006-04-12
643,2006-04-15
644,2006-04-18
645,2006-04-21
646,2006-04-24
647,2006-04-27
648,2006-04-30
649,2006-05-03
650,2006-05-06
651,2006-05-09
652,2006-05-12
653,2006-05-15
654,2006-05-18
655,2006-05-21
656,2006-05-24
657,2006-05-27
658,2006-05-30
659,2006-06-02
660,2006-06-05
661,2006-06-08
662,2006-06-11
663,2006-06-14
664,2006-06-17
665,2006-06-20
666,2006-06-23
667,2006-06-26
668,2006-06-29
669,2006-07-02
670,2006-07-05
671,2006-07-08
672,2006-07-11
673,2006-07-14
674,2006-07-17
675,2006-07-20
676,2006-07-23
677,2006-07-26
678,2006-07-29
679,2006-08-01
680,2006-08-04
681,2006-08-07
682,2006-08-10
683,2006-08-13
684,2006-08-16
685,2006-08-19
686,2006-08-22
687,2006-08-25
688,2006-08-28
689,2006-08-31
690,2006-09-03
691,2006-09-06
692,2006-09-09
693,2006-09-12
694,2006-09-15
695,2006-09-18
696,2006-09-21
697,2006-09-24
698,2006-09-27
699,2006-09-30
700,2006-10-03
701,2006-10-06
702,2006-10-09
703,2006-10-12
704,2006-10-15
705,2006-10-18
706,2006-10-21
707,2006-10-24
708,2006-10-27
709,2006-10-30
710,2006-11-02
711,2006-11-05
712,2006-11-08
713,2006-11-11
714,2006-11-14
715,2006-11-17
716,2006-11-20
717,2006-11-23
718,2006-11-26
719,2006-11-29
720,2006-12-02
721,2006-12-05
722,2006-12-08
723,2006-12-11
724,2006-12-14
725,2006-12-17
726,2006-12-20
727,2006-12-23
728,2006-12-26
729,2006-12-29
730,2007-01-01
731,2007-01-04
732,2007-01-07
733,2007-01-10
734,2007-01-13
735,2007-01-16
736,2007-01-19
737,2007-01-22
738,2007-01-25
739,2007-01-28
740,2007-01-31
741,2007-02-03
742,2007-02-06
743,2007-02-09
744,2007-02-12
745,2007-02-15
746,2007-02-18
747,2007-02-21
748,2007-02-24
749,2007-02-27
750,2007-03-02
751,2007-03-05
752,2007-03-08
753,2007-03-11
754,2007-03-14
755,2007-03-17
